ipv4_address,user_agent,datetime
153.52.49.11,Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/532.1 (KHTML; like Gecko) FxiOS/13.0u8084.0 Mobile/23U175 Safari/532.1,2022-03-01 19:16:50
36.177.115.150,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0),2022-03-05 19:43:42
135.213.33.226,Opera/9.69.(Windows 98; te-IN) Presto/2.9.187 Version/10.00,2022-03-07 21:32:10
217.28.203.144,Opera/9.12.(X11; Linux i686; li-NL) Presto/2.9.190 Version/10.00,2022-03-02 11:15:29
30.69.72.200,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2013-09-10 10:58:42 Firefox/13.0,2022-03-20 01:15:56
186.36.249.176,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/4.0),2022-03-09 00:43:54
164.134.57.37,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/4.1),2022-03-10 11:54:11
212.72.245.212,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/4.1),2022-03-14 19:38:12
83.88.192.77,Mozilla/5.0 (Windows NT 4.0; szl-PL; rv:1.9.2.20) Gecko/2013-07-17 23:29:38 Firefox/3.6.13,2022-03-21 21:59:39
74.224.149.146,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/3.1),2022-03-13 04:19:09
31.9.40.213,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_7 rv:4.0; eo-US) AppleWebKit/535.44.7 (KHTML; like Gecko) Version/4.0.4 Safari/535.44.7,2022-03-25 01:24:19
134.223.114.155,Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; ti-ET) AppleWebKit/531.12.2 (KHTML; like Gecko) Version/4.0.5 Mobile/8B112 Safari/6531.12.2,2022-03-02 18:06:27
178.159.178.60,Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/532.2 (KHTML; like Gecko) FxiOS/10.7s2051.0 Mobile/21E640 Safari/532.2,2022-03-27 08:07:40
12.52.193.153,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.2 (KHTML; like Gecko) Chrome/17.0.835.0 Safari/531.2,2022-03-16 07:22:40
123.152.136.202,Mozilla/5.0 (Android 5.0.1; Mobile; rv:62.0) Gecko/62.0 Firefox/62.0,2022-03-09 13:53:07
49.2.88.210,Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.18.2 (KHTML; like Gecko) Version/4.0 Safari/533.18.2,2022-03-17 03:17:04
49.196.120.29,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.1 (KHTML; like Gecko) Chrome/32.0.897.0 Safari/536.1,2022-03-17 06:02:17
220.195.4.243,Opera/8.39.(Windows NT 5.1; sq-ML) Presto/2.9.165 Version/10.00,2022-03-02 14:02:39
82.37.33.210,Opera/9.24.(Windows 95; kok-IN) Presto/2.9.167 Version/10.00,2022-03-02 05:41:31
169.125.207.85,Opera/8.37.(Windows NT 6.1; gl-ES) Presto/2.9.165 Version/10.00,2022-03-19 01:20:45
156.25.245.24,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/3.1),2022-03-17 05:02:43
91.55.15.221,Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/534.0 (KHTML; like Gecko) FxiOS/11.2f0360.0 Mobile/12L394 Safari/534.0,2022-03-20 10:36:17
100.46.39.155,Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; it-IT) AppleWebKit/532.3.5 (KHTML; like Gecko) Version/4.0.5 Mobile/8B117 Safari/6532.3.5,2022-03-28 18:02:13
89.68.62.25,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2011-11-27 17:53:20 Firefox/3.8,2022-03-20 02:15:40
81.251.202.208,Mozilla/5.0 (Android 3.1; Mobile; rv:7.0) Gecko/7.0 Firefox/7.0,2022-03-03 18:32:58
193.50.192.98,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/3.0),2022-03-10 22:29:20
88.122.172.155,Mozilla/5.0 (Linux; Android 4.1.2) AppleWebKit/534.0 (KHTML; like Gecko) Chrome/47.0.812.0 Safari/534.0,2022-03-24 14:11:21
182.251.191.193,Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/536.2 (KHTML; like Gecko) FxiOS/11.0c4582.0 Mobile/19T849 Safari/536.2,2022-02-28 02:22:08
197.132.235.44,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_2) AppleWebKit/534.0 (KHTML; like Gecko) Chrome/34.0.822.0 Safari/534.0,2022-03-08 07:57:49
204.196.154.39,Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/536.0 (KHTML; like Gecko) FxiOS/10.6a8400.0 Mobile/08O982 Safari/536.0,2022-03-17 19:23:10
50.2.233.35,Opera/9.55.(X11; Linux i686; ca-FR) Presto/2.9.183 Version/10.00,2022-03-26 10:09:35
175.135.141.224,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/3.0),2022-03-03 03:16:12
53.239.33.88,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_8) AppleWebKit/533.0 (KHTML; like Gecko) Chrome/37.0.894.0 Safari/533.0,2022-03-06 07:24:23
40.176.253.59,Opera/8.36.(X11; Linux i686; an-ES) Presto/2.9.165 Version/10.00,2022-03-13 10:37:00
133.102.86.25,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/4.0),2022-03-19 10:32:57
60.250.151.86,Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_6 like Mac OS X) AppleWebKit/535.2 (KHTML; like Gecko) CriOS/44.0.859.0 Mobile/09V209 Safari/535.2,2022-03-02 23:30:20
83.157.117.22,Opera/8.93.(X11; Linux i686; pt-BR) Presto/2.9.184 Version/12.00,2022-03-22 15:04:34
196.235.233.161,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/3.1),2022-03-16 23:05:13
175.218.88.13,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/5.0),2022-03-08 04:31:01
