ipv4_address,user_agent,datetime
139.104.134.102,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/5.1),2022-03-06 07:03:49
122.198.14.97,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/2022-03-23 09:16:26 Firefox/3.6.12,2022-03-18 18:37:11
157.175.69.75,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/4.1),2022-03-07 09:34:05
54.111.230.156,Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.2 (KHTML; like Gecko) Chrome/34.0.806.0 Safari/535.2,2022-03-11 08:33:25
126.21.81.53,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/4.0),2022-03-24 04:14:19
11.45.61.151,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/4.1),2022-03-15 08:59:43
205.58.95.160,Opera/8.12.(Windows CE; sq-AL) Presto/2.9.170 Version/12.00,2022-03-21 21:35:58
106.22.114.66,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/4.1),2022-03-14 23:52:07
189.22.203.175,Opera/8.26.(Windows CE; shs-CA) Presto/2.9.165 Version/12.00,2022-03-16 09:39:16
207.65.23.83,Opera/8.42.(Windows NT 5.1; ru-UA) Presto/2.9.178 Version/11.00,2022-03-26 09:11:55
200.153.82.78,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_7 rv:2.0; gv-GB) AppleWebKit/534.9.6 (KHTML; like Gecko) Version/4.0 Safari/534.9.6,2022-03-26 03:43:39
152.140.121.197,Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; bn-IN) AppleWebKit/533.31.4 (KHTML; like Gecko) Version/4.0.5 Mobile/8B114 Safari/6533.31.4,2022-03-04 07:29:06
137.221.151.65,Mozilla/5.0 (Windows 98) AppleWebKit/532.2 (KHTML; like Gecko) Chrome/56.0.852.0 Safari/532.2,2022-03-14 21:12:37
203.181.176.147,Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/532.18.3 (KHTML; like Gecko) Version/4.1 Safari/532.18.3,2022-03-21 05:35:36
101.252.25.96,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_8) AppleWebKit/536.2 (KHTML; like Gecko) Chrome/29.0.833.0 Safari/536.2,2022-03-11 04:06:07
107.185.203.130,Opera/9.40.(Windows NT 5.01; pl-PL) Presto/2.9.176 Version/12.00,2022-03-05 17:20:02
135.117.182.112,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/2015-09-19 03:31:06 Firefox/3.6.3,2022-03-06 02:26:08
4.25.86.27,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/5.1),2022-03-20 21:05:12
144.99.138.17,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2017-10-14 18:25:28 Firefox/10.0,2022-03-16 00:56:37
107.119.185.147,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/4.0),2022-03-19 18:02:51
200.245.179.104,Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.0 (KHTML; like Gecko) Chrome/17.0.830.0 Safari/534.0,2022-03-02 20:25:53
51.239.100.224,Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; raj-IN) AppleWebKit/533.5.3 (KHTML; like Gecko) Version/4.0.5 Mobile/8B114 Safari/6533.5.3,2022-02-28 00:55:49
176.182.148.102,Opera/8.14.(X11; Linux i686; crh-UA) Presto/2.9.164 Version/12.00,2022-02-28 19:43:20
190.101.60.250,Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; unm-US) AppleWebKit/535.6.7 (KHTML; like Gecko) Version/4.0.5 Mobile/8B112 Safari/6535.6.7,2022-03-04 15:24:09
211.210.62.249,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/4.1),2022-03-17 05:37:45
172.87.120.250,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/3.1),2022-03-24 22:09:48
122.104.122.246,Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_6 like Mac OS X) AppleWebKit/531.1 (KHTML; like Gecko) FxiOS/9.6k0726.0 Mobile/64Q432 Safari/531.1,2022-03-20 05:04:53
187.123.89.123,Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/534.1 (KHTML; like Gecko) CriOS/63.0.808.0 Mobile/65R945 Safari/534.1,2022-03-20 14:55:14
212.48.111.106,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_5; rv:1.9.6.20) Gecko/2016-03-18 03:44:03 Firefox/3.8,2022-03-20 12:26:35
19.191.209.227,Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.0 (KHTML; like Gecko) Chrome/59.0.893.0 Safari/535.0,2022-02-28 02:58:40
11.225.100.50,Opera/8.78.(X11; Linux x86_64; se-NO) Presto/2.9.189 Version/12.00,2022-03-08 16:12:43
65.162.217.42,Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; crh-UA) AppleWebKit/531.7.6 (KHTML; like Gecko) Version/4.0.5 Mobile/8B118 Safari/6531.7.6,2022-03-27 07:09:07
36.146.42.154,Opera/8.12.(X11; Linux x86_64; shs-CA) Presto/2.9.165 Version/10.00,2022-03-25 09:43:57
64.91.199.21,Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/534.35.7 (KHTML; like Gecko) Version/5.0 Safari/534.35.7,2022-03-11 14:04:53
130.147.185.60,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2014-01-23 16:23:01 Firefox/3.8,2022-03-08 11:11:06
